fsa,ra_code,ra_nom,strate_region
G0A,03,Capitale-Nationale,quebec
G0C,11,Gaspésie–Îles-de-la-Madeleine,regions
G0E,11,Gaspésie–Îles-de-la-Madeleine,regions
G0G,09,Côte-Nord,regions
G0H,09,Côte-Nord,regions
G0J,01,Bas-Saint-Laurent,regions
G0K,01,Bas-Saint-Laurent,regions
G0L,01,Bas-Saint-Laurent,regions
G0M,12,Chaudière-Appalaches,regions
G0N,12,Chaudière-Appalaches,regions
G0P,12,Chaudière-Appalaches,regions
G0R,12,Chaudière-Appalaches,regions
G0S,12,Chaudière-Appalaches,regions
G0T,09,Côte-Nord,regions
G0V,02,Saguenay–Lac-Saint-Jean,regions
G0W,02,Saguenay–Lac-Saint-Jean,regions
G0X,04,Mauricie,regions
G0Y,05,Estrie,regions
G0Z,17,Centre-du-Québec,regions
G1B,03,Capitale-Nationale,quebec
G1C,03,Capitale-Nationale,quebec
G1E,03,Capitale-Nationale,quebec
G1G,03,Capitale-Nationale,quebec
G1H,03,Capitale-Nationale,quebec
G1J,03,Capitale-Nationale,quebec
G1K,03,Capitale-Nationale,quebec
G1L,03,Capitale-Nationale,quebec
G1M,03,Capitale-Nationale,quebec
G1N,03,Capitale-Nationale,quebec
G1P,03,Capitale-Nationale,quebec
G1R,03,Capitale-Nationale,quebec
G1S,03,Capitale-Nationale,quebec
G1T,03,Capitale-Nationale,quebec
G1V,03,Capitale-Nationale,quebec
G1W,03,Capitale-Nationale,quebec
G1X,03,Capitale-Nationale,quebec
G1Y,03,Capitale-Nationale,quebec
G2A,03,Capitale-Nationale,quebec
G2B,03,Capitale-Nationale,quebec
G2C,03,Capitale-Nationale,quebec
G2E,03,Capitale-Nationale,quebec
G2G,03,Capitale-Nationale,quebec
G2J,03,Capitale-Nationale,quebec
G2K,03,Capitale-Nationale,quebec
G2L,03,Capitale-Nationale,quebec
G2M,03,Capitale-Nationale,quebec
G2N,03,Capitale-Nationale,quebec
G3A,03,Capitale-Nationale,quebec
G3B,03,Capitale-Nationale,quebec
G3C,03,Capitale-Nationale,quebec
G3E,03,Capitale-Nationale,quebec
G3G,03,Capitale-Nationale,quebec
G3H,03,Capitale-Nationale,quebec
G3J,03,Capitale-Nationale,quebec
G3K,03,Capitale-Nationale,quebec
G3L,03,Capitale-Nationale,quebec
G3M,03,Capitale-Nationale,quebec
G3N,03,Capitale-Nationale,quebec
G3S,03,Capitale-Nationale,quebec
G3Z,03,Capitale-Nationale,quebec
G4A,03,Capitale-Nationale,quebec
G4R,09,Côte-Nord,regions
G4S,09,Côte-Nord,regions
G4T,11,Gaspésie–Îles-de-la-Madeleine,regions
G4V,11,Gaspésie–Îles-de-la-Madeleine,regions
G4W,01,Bas-Saint-Laurent,regions
G4X,11,Gaspésie–Îles-de-la-Madeleine,regions
G4Z,09,Côte-Nord,regions
G5A,03,Capitale-Nationale,quebec
G5B,09,Côte-Nord,regions
G5C,09,Côte-Nord,regions
G5H,01,Bas-Saint-Laurent,regions
G5J,01,Bas-Saint-Laurent,regions
G5L,01,Bas-Saint-Laurent,regions
G5M,01,Bas-Saint-Laurent,regions
G5N,01,Bas-Saint-Laurent,regions
G5R,01,Bas-Saint-Laurent,regions
G5T,01,Bas-Saint-Laurent,regions
G5V,12,Chaudière-Appalaches,regions
G5X,12,Chaudière-Appalaches,regions
G5Y,12,Chaudière-Appalaches,regions
G5Z,12,Chaudière-Appalaches,regions
G6A,12,Chaudière-Appalaches,regions
G6B,05,Estrie,regions
G6C,12,Chaudière-Appalaches,regions
G6E,12,Chaudière-Appalaches,regions
G6G,12,Chaudière-Appalaches,regions
G6H,12,Chaudière-Appalaches,regions
G6J,12,Chaudière-Appalaches,regions
G6K,12,Chaudière-Appalaches,regions
G6L,17,Centre-du-Québec,regions
G6P,17,Centre-du-Québec,regions
G6R,17,Centre-du-Québec,regions
G6S,17,Centre-du-Québec,regions
G6T,17,Centre-du-Québec,regions
G6V,12,Chaudière-Appalaches,regions
G6W,12,Chaudière-Appalaches,regions
G6X,12,Chaudière-Appalaches,regions
G6Y,12,Chaudière-Appalaches,regions
G6Z,12,Chaudière-Appalaches,regions
G7A,12,Chaudière-Appalaches,regions
G7B,02,Saguenay–Lac-Saint-Jean,regions
G7G,02,Saguenay–Lac-Saint-Jean,regions
G7H,02,Saguenay–Lac-Saint-Jean,regions
G7J,02,Saguenay–Lac-Saint-Jean,regions
G7K,02,Saguenay–Lac-Saint-Jean,regions
G7N,02,Saguenay–Lac-Saint-Jean,regions
G7P,02,Saguenay–Lac-Saint-Jean,regions
G7S,02,Saguenay–Lac-Saint-Jean,regions
G7T,02,Saguenay–Lac-Saint-Jean,regions
G7X,02,Saguenay–Lac-Saint-Jean,regions
G7Y,02,Saguenay–Lac-Saint-Jean,regions
G7Z,02,Saguenay–Lac-Saint-Jean,regions
G8A,02,Saguenay–Lac-Saint-Jean,regions
G8B,02,Saguenay–Lac-Saint-Jean,regions
G8C,02,Saguenay–Lac-Saint-Jean,regions
G8E,02,Saguenay–Lac-Saint-Jean,regions
G8G,02,Saguenay–Lac-Saint-Jean,regions
G8H,02,Saguenay–Lac-Saint-Jean,regions
G8J,02,Saguenay–Lac-Saint-Jean,regions
G8K,02,Saguenay–Lac-Saint-Jean,regions
G8L,02,Saguenay–Lac-Saint-Jean,regions
G8M,02,Saguenay–Lac-Saint-Jean,regions
G8N,02,Saguenay–Lac-Saint-Jean,regions
G8P,10,Nord-du-Québec,regions
G8T,17,Centre-du-Québec,regions
G8V,04,Mauricie,regions
G8W,04,Mauricie,regions
G8Y,04,Mauricie,regions
G8Z,04,Mauricie,regions
G9A,04,Mauricie,regions
G9B,04,Mauricie,regions
G9C,04,Mauricie,regions
G9H,17,Centre-du-Québec,regions
G9N,04,Mauricie,regions
G9P,04,Mauricie,regions
G9R,04,Mauricie,regions
G9T,04,Mauricie,regions
G9X,04,Mauricie,regions
H1A,06,Montréal,montreal
H1B,06,Montréal,montreal
H1C,06,Montréal,montreal
H1E,06,Montréal,montreal
H1G,06,Montréal,montreal
H1H,06,Montréal,montreal
H1J,06,Montréal,montreal
H1K,06,Montréal,montreal
H1L,06,Montréal,montreal
H1M,06,Montréal,montreal
H1N,06,Montréal,montreal
H1P,06,Montréal,montreal
H1R,06,Montréal,montreal
H1S,06,Montréal,montreal
H1T,06,Montréal,montreal
H1V,06,Montréal,montreal
H1W,06,Montréal,montreal
H1X,06,Montréal,montreal
H1Y,06,Montréal,montreal
H1Z,06,Montréal,montreal
H2A,06,Montréal,montreal
H2B,06,Montréal,montreal
H2C,06,Montréal,montreal
H2E,06,Montréal,montreal
H2G,06,Montréal,montreal
H2H,06,Montréal,montreal
H2J,06,Montréal,montreal
H2K,06,Montréal,montreal
H2L,06,Montréal,montreal
H2M,06,Montréal,montreal
H2N,06,Montréal,montreal
H2P,06,Montréal,montreal
H2R,06,Montréal,montreal
H2S,06,Montréal,montreal
H2T,06,Montréal,montreal
H2V,06,Montréal,montreal
H2W,06,Montréal,montreal
H2X,06,Montréal,montreal
H2Y,06,Montréal,montreal
H2Z,06,Montréal,montreal
H3A,06,Montréal,montreal
H3B,06,Montréal,montreal
H3C,06,Montréal,montreal
H3E,06,Montréal,montreal
H3G,06,Montréal,montreal
H3H,06,Montréal,montreal
H3J,06,Montréal,montreal
H3K,06,Montréal,montreal
H3L,06,Montréal,montreal
H3M,06,Montréal,montreal
H3N,06,Montréal,montreal
H3P,06,Montréal,montreal
H3R,06,Montréal,montreal
H3S,06,Montréal,montreal
H3T,06,Montréal,montreal
H3V,06,Montréal,montreal
H3W,06,Montréal,montreal
H3X,06,Montréal,montreal
H3Y,06,Montréal,montreal
H3Z,06,Montréal,montreal
H4A,06,Montréal,montreal
H4B,06,Montréal,montreal
H4C,06,Montréal,montreal
H4E,06,Montréal,montreal
H4G,06,Montréal,montreal
H4H,06,Montréal,montreal
H4J,06,Montréal,montreal
H4K,06,Montréal,montreal
H4L,06,Montréal,montreal
H4M,06,Montréal,montreal
H4N,06,Montréal,montreal
H4P,06,Montréal,montreal
H4R,06,Montréal,montreal
H4S,06,Montréal,montreal
H4T,06,Montréal,montreal
H4V,06,Montréal,montreal
H4W,06,Montréal,montreal
H4X,06,Montréal,montreal
H7A,13,Laval,montreal
H7B,13,Laval,montreal
H7C,13,Laval,montreal
H7E,13,Laval,montreal
H7G,13,Laval,montreal
H7H,13,Laval,montreal
H7J,13,Laval,montreal
H7K,13,Laval,montreal
H7L,13,Laval,montreal
H7M,13,Laval,montreal
H7N,13,Laval,montreal
H7P,13,Laval,montreal
H7R,13,Laval,montreal
H7S,13,Laval,montreal
H7T,13,Laval,montreal
H7V,13,Laval,montreal
H7W,13,Laval,montreal
H7X,13,Laval,montreal
H7Y,13,Laval,montreal
H8N,06,Montréal,montreal
H8P,06,Montréal,montreal
H8R,06,Montréal,montreal
H8S,06,Montréal,montreal
H8T,06,Montréal,montreal
H8Y,06,Montréal,montreal
H8Z,06,Montréal,montreal
H9A,06,Montréal,montreal
H9B,06,Montréal,montreal
H9C,06,Montréal,montreal
H9E,06,Montréal,montreal
H9G,06,Montréal,montreal
H9H,06,Montréal,montreal
H9J,06,Montréal,montreal
H9K,06,Montréal,montreal
H9P,06,Montréal,montreal
H9R,06,Montréal,montreal
H9S,06,Montréal,montreal
H9W,06,Montréal,montreal
H9X,06,Montréal,montreal
J0A,17,Centre-du-Québec,regions
J0B,05,Estrie,regions
J0C,12,Chaudière-Appalaches,regions
J0E,05,Estrie,regions
J0G,17,Centre-du-Québec,regions
J0H,16,Montérégie,couronne
J0J,16,Montérégie,couronne
J0K,14,Lanaudière,couronne
J0L,16,Montérégie,couronne
J0M,10,Nord-du-Québec,regions
J0N,16,Montérégie,couronne
J0P,16,Montérégie,couronne
J0R,15,Laurentides,couronne
J0S,16,Montérégie,couronne
J0T,15,Laurentides,couronne
J0V,07,Outaouais,regions
J0W,15,Laurentides,couronne
J0X,07,Outaouais,regions
J0Y,10,Nord-du-Québec,regions
