GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,PR_UID,C_UID,"v_CA21_1: Population, 2021",v_CA21_9: Total - Age,v_CA21_10: Total - Age,v_CA21_14: 0 to 4 years,v_CA21_32: 5 to 9 years,v_CA21_50: 10 to 14 years,v_CA21_71: 15 to 19 years,v_CA21_89: 20 to 24 years,v_CA21_107: 25 to 29 years,v_CA21_125: 30 to 34 years,v_CA21_143: 35 to 39 years,v_CA21_161: 40 to 44 years,v_CA21_179: 45 to 49 years,v_CA21_197: 50 to 54 years,v_CA21_215: 55 to 59 years,v_CA21_233: 60 to 64 years,v_CA21_254: 65 to 69 years,v_CA21_272: 70 to 74 years,v_CA21_290: 75 to 79 years,v_CA21_308: 80 to 84 years,v_CA21_329: 85 to 89 years,"v_CA21_930: $30,000 to $34,999","v_CA21_927: $15,000 to $19,999",strate_region
2465,CD,Laval (TÉ),246.1349,438366,176115,169785,24,,438366,213670,224695,21225,25465,28515,26045,25215,24855,24310,26975,29680,30185,31565,32650,29765,23420,19240,15375,11565,7610,5195,2490,montreal
2466,CD,Montréal (TÉ),498.292,2004265,976966,910359,24,,2004265,983805,1020460,99195,106980,103590,97525,140025,165520,157720,149265,142365,125510,121715,125465,118065,99325,86030,63210,46875,33210,40595,25730,montreal
2423,CD,Québec (TÉ),547.6002,588777,300247,282187,24,,588777,286845,301930,26895,30040,29895,26960,33990,41120,38715,38270,39265,33195,33000,40320,42350,38980,34855,26845,16835,10495,10925,6130,quebec
2455,CD,Rouville (MRC),482.8048,37889,16199,15755,24,,37889,19075,18815,2170,2430,2455,1930,1575,2180,2535,2515,2760,2130,2260,2880,2875,2305,1930,1385,795,475,530,200,couronne
2456,CD,Le Haut-Richelieu (MRC),934.8475,121277,55208,52723,24,,121277,60165,61115,6330,7105,7420,5860,5580,6985,7515,7655,7925,7210,7605,9105,9295,8070,6900,4915,3020,1735,1845,980,couronne
2457,CD,La Vallée-du-Richelieu (MRC),587.8402,131803,53796,52785,24,,131803,64745,67060,7275,8980,9295,7495,5655,6370,7595,9185,10435,9260,8645,9520,8815,7395,6450,4580,2550,1540,1135,480,couronne
2458,CD,Longueuil (TÉ),282.391,436785,193701,187260,24,,436785,212330,224455,21985,25125,25265,22645,22850,25170,26760,29620,31165,28410,27025,30330,29680,26590,23745,18540,11425,6545,6405,3470,couronne
2459,CD,Marguerite-D'Youville (MRC),347.0968,80313,32414,31848,24,,80313,39790,40525,4445,5215,5565,4780,3955,4215,4825,5405,5925,5510,5640,6055,5560,4405,3745,2560,1425,725,675,275,couronne
2460,CD,L'Assomption (MRC),255.1595,128087,52508,51578,24,,128087,62500,65590,6635,8265,8890,7060,6145,6485,7005,8000,8850,8240,8135,9480,9740,8040,6660,4885,2805,1765,1400,545,couronne
2461,CD,Joliette (MRC),417.4056,71124,33812,32312,24,,71124,34075,37045,3480,3800,3900,3180,3135,3955,4140,4220,4240,3670,3815,5005,5750,5465,4825,3725,2410,1430,1415,855,couronne
